,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM
1995-12-01,-0.4965827864133328,0.0037183474984667786,0.6699999999999999,0.42,203.4971,1431.0,6.9,0.040000000000000036,51221.0,297684.0,0.0,1.2705446879068987
1996-01-01,-0.4965827864133328,-0.005634605836747797,0.6600000000000001,0.5,196.8141,1467.0,-1.8,-0.1200000000000001,47931.0,285822.0,0.0,0.0033286701549215536
1996-02-01,0.5462353776629121,0.014448222743776773,0.6399999999999997,0.85,197.696,1491.0,-1.8,-0.1200000000000001,49183.0,277940.0,-0.09999999999999964,2.2461103786121654
1996-03-01,-0.30415356454714915,-0.0013575823135689724,0.6799999999999997,1.17,206.664,1424.0,-1.8,-0.1200000000000001,49780.0,298862.0,0.0,-0.03613262176513388
1996-04-01,-0.5517193857965884,0.010298613762717457,0.6899999999999995,1.42,209.3274,1516.0,-7.4,0.0,48102.0,290320.0,0.09999999999999964,-0.000881195068359375
1996-05-01,1.9472855137210134,0.007167440414285631,0.6800000000000006,1.59,203.8712,1504.0,-7.4,0.0,50505.0,298700.0,0.0,1.0220468694513514
1996-06-01,1.9472855137210134,0.007571523619427589,0.6900000000000004,1.68,206.5216,1467.0,-7.4,0.0,51556.0,299606.0,-0.2999999999999998,0.5326312845403507
1996-07-01,-0.0530108280254776,-1.3206724862602215e-06,0.6999999999999993,1.57,194.652,1472.0,-8.6,0.020000000000000018,51047.0,298909.0,0.20000000000000018,-1.4996036356145694
1996-08-01,-0.05286856780734853,0.004868005214021975,0.7199999999999998,1.45,198.515,1557.0,-8.6,0.020000000000000018,50780.0,293231.0,-0.40000000000000036,1.2499724301424848
1996-09-01,-0.05286856780734853,0.006681780844422391,0.6899999999999995,1.59,205.2159,1475.0,-8.6,0.020000000000000018,49824.0,302015.0,0.10000000000000053,0.8855143460360466
1996-10-01,-0.4521951358180768,-0.00038774921373085913,0.6800000000000006,1.41,204.9208,1392.0,-8.9,0.03000000000000025,52556.0,301595.0,0.0,1.7618659475575313
1996-11-01,-0.5530500000000655,0.008921691294592193,0.6900000000000004,1.03,218.9817,1489.0,-8.9,0.03000000000000025,52664.0,309537.0,0.20000000000000018,2.2846403619517446
