yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1953,24.81,1.450,2.510,0.7597009612,0.0160,0.0313,0.0374,0.0274,-0.0155143671,0.02482227229,0.020150,0.0074906367,0.2039784221,0.0362581936,0.0341144247,0.0082794787,0.0027933096,0.0339560678,-0.0170751418,-0.0730170048
1954,35.98,1.540,2.770,0.6041197854,0.0115,0.0290,0.0345,0.0272,0.0054705967,0.02699281247,0.010742,-0.0074349442,0.2131974362,0.0717764678,0.0538584853,0.0083898136,0.0028454745,0.0325137964,0.5264830511,0.4499367806
1955,45.48,1.640,3.620,0.5098280098,0.0254,0.0315,0.0362,0.0295,-0.0096712118,0.02524454986,0.014855,0.0037453184,0.2753906250,-0.0128344889,0.0047973698,0.0216202088,0.0002437992,0.0365535705,0.3129824890,0.2579078378
1956,46.67,1.740,3.410,0.5441768274,0.0321,0.0375,0.0437,0.0345,-0.0171154259,0.02614936727,0.025540,0.0298507463,0.2684888930,-0.0559421649,-0.0681462678,0.0138899243,0.0009698413,0.0355291722,0.0642743317,0.0218089197
1957,39.99,1.790,3.370,0.6536757786,0.0304,0.0381,0.0503,0.0323,-0.0116604420,0.03487314700,0.033180,0.0289855072,0.2270010092,0.0746646691,0.0871354576,0.0175468510,0.0006679271,0.0341064322,-0.1081478147,-0.1470136996
1958,55.21,1.750,2.890,0.5117793198,0.0277,0.0408,0.0485,0.0382,0.0063793446,0.02368683161,0.019151,0.0176056338,0.1648351648,-0.0610620354,-0.0221699116,0.0084892240,0.0015858124,0.0307768104,0.4374168546,0.3827525215
1959,59.89,1.830,3.390,0.4577837965,0.0449,0.0458,0.0528,0.0447,0.0061217842,0.02285630410,0.032434,0.0173010381,0.2624397250,-0.0226635570,-0.0096678958,0.0084492905,0.0009753718,0.0325322631,0.1240082854,0.0880547004
1960,58.11,1.950,3.270,0.5504229651,0.0225,0.0435,0.0510,0.0380,0.0112052592,0.02276136079,0.032224,0.0136054422,0.2041559976,0.1379339434,0.0906649155,0.0101605859,-0.0013625136,0.0324181553,0.0059007576,-0.0284610760
1961,71.55,2.020,3.190,0.5059222584,0.0260,0.0442,0.0510,0.0415,0.0108412661,0.02232428788,0.023326,0.0067114094,0.2844120328,0.0096784267,0.0481831888,0.0064878726,-0.0022107435,0.0330353316,0.2710701961,0.2335554726
1962,63.10,2.130,3.670,0.5916270511,0.0287,0.0424,0.0492,0.0395,0.0075342275,0.01996807042,0.027351,0.0133333333,0.1621672116,0.0688294893,0.0794503633,0.0285449801,-0.0027965748,0.0337218494,-0.0874816194,-0.1183940659
1963,75.02,2.280,4.020,0.5255914542,0.0352,0.0435,0.0485,0.0417,0.0077812178,0.00895473026,0.030671,0.0164473684,0.1114743380,0.0121436448,0.0219487476,0.0074126330,-0.0014968686,0.0355441708,0.2268632559,0.1877667237
1964,84.75,2.500,4.550,0.4872273003,0.0384,0.0444,0.0481,0.0423,-0.0033308484,0.02309536943,0.035642,0.0097087379,0.2214659311,0.0351170290,0.0477231318,0.0027945885,-0.0023805734,0.0374419322,0.1667927690,0.1318516683
